taxon,rank,domain,lineage,seq_count,avg_length,min_length,max_length
Sandaracinaceae,family,bacteria,Myxococcota > Polyangia > Polyangiales,23,1471.0,1275,1561
Thermodesulfobacteriota,phylum,bacteria,root > Bacteria > Pseudomonadati,16,1432.1,1212,1514
Natranaerobiaceae,family,bacteria,Bacillota > Clostridia > Natranaerobiales,15,1481.3,1225,1535
Thermoanaerobaculaceae,family,bacteria,Acidobacteriota > Thermoanaerobaculia > Thermoanaerobaculales,13,1440.4,1297,1558
Aquificota,phylum,bacteria,root > Bacteria > Pseudomonadati,8,1496.6,1349,1577
Nanobdellota,phylum,archaea,root > Archaea > Nanobdellati,7,1374.0,1309,1500
Nitrososphaerota,phylum,archaea,root > Archaea > Thermoproteati,6,1395.7,1309,1488
Spirochaetales,order,bacteria,Pseudomonadati > Spirochaetota > Spirochaetia,6,1410.5,1341,1497
Planctomycetia,class,bacteria,Pseudomonadati > PVC group > Planctomycetota,5,1495.2,1448,1546
Micropepsaceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Micropepsales,4,1396.8,1310,1503
Fimbriimonadales,order,bacteria,Bacillati > Armatimonadota > Fimbriimonadia,3,1462.7,1443,1492
Desulfurococcales,order,archaea,Thermoproteati > Thermoproteota > Thermoprotei,2,1376.0,1331,1421
Bacteroidota,phylum,bacteria,Pseudomonadati > FCB group > Bacteroidota/Chlorobiota group,2,1444.5,1416,1473
Desulfovibrionales,order,bacteria,Pseudomonadati > Thermodesulfobacteriota > Desulfovibrionia,2,1355.0,1211,1499
Scytonemataceae,family,bacteria,Cyanobacteriota > Cyanophyceae > Nostocales,1,1494.0,1494,1494
Oculatellaceae,family,bacteria,Cyanobacteriota > Cyanophyceae > Oculatellales,1,1222.0,1222,1222
Verrucomicrobiia,class,bacteria,Pseudomonadati > PVC group > Verrucomicrobiota,1,1475.0,1475,1475
