taxon,rank,domain,lineage,seq_count,avg_length,min_length,max_length
Hyphomicrobiaceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Hyphomicrobiales,260,1398.0,1200,1825
Thermoanaerobacterales,order,bacteria,Bacillati > Bacillota > Clostridia,246,1482.7,1201,1800
Thermoleophilia,class,bacteria,Bacteria > Bacillati > Actinomycetota,215,1466.3,1207,1573
Zoogloeaceae,family,bacteria,Pseudomonadota > Betaproteobacteria > Rhodocyclales,207,1458.9,1203,1668
Coriobacteriia,class,bacteria,Bacteria > Bacillati > Actinomycetota,193,1383.1,1200,1524
Rhodocyclales,order,bacteria,Pseudomonadati > Pseudomonadota > Betaproteobacteria,176,1467.6,1216,2092
Acetobacterales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,172,1406.1,1202,1592
Gemmatimonadota,phylum,bacteria,Bacteria > Pseudomonadati > FCB group,168,1445.5,1236,1550
Chromatiaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Chromatiales,145,1425.6,1220,1541
Oscillatoriales,order,bacteria,Cyanobacteriota > Cyanophyceae > Oscillatoriophycideae,144,1482.7,1210,2270
Sporichthyaceae,family,bacteria,Actinomycetota > Actinomycetes > Sporichthyales,138,1426.3,1203,1525
Syntrophobacteraceae,family,bacteria,Thermodesulfobacteriota > Syntrophobacteria > Syntrophobacterales,135,1470.7,1222,1645
Nostocales,order,bacteria,Cyanobacteriota/Melainabacteria group > Cyanobacteriota > Cyanophyceae,133,1482.3,1201,2077
Sterolibacteriaceae,family,bacteria,Pseudomonadota > Betaproteobacteria > Nitrosomonadales,117,1456.7,1202,1588
Cyanophyceae,class,bacteria,Bacillati > Cyanobacteriota/Melainabacteria group > Cyanobacteriota,116,1436.3,1232,2514
Chloroflexales,order,bacteria,Bacillati > Chloroflexota > Chloroflexia,107,1432.5,1214,1659
Arenicellaceae,family,bacteria,Pseudomonadota > Gammaproteobacteria > Arenicellales,98,1469.6,1247,1530
Nitriliruptoria,class,bacteria,Bacteria > Bacillati > Actinomycetota,98,1461.2,1309,1537
Coleofasciculales,order,bacteria,Cyanobacteriota/Melainabacteria group > Cyanobacteriota > Cyanophyceae,74,1356.9,1243,1877
Acetobacteraceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Acetobacterales,71,1405.1,1237,1518
Bacteroidales,order,bacteria,Bacteroidota/Chlorobiota group > Bacteroidota > Bacteroidia,69,1462.8,1204,2826
Limnochordia,class,bacteria,Bacteria > Bacillati > Bacillota,60,1438.8,1257,1511
Rickettsiales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,59,1429.0,1254,2745
Nevskiales,order,bacteria,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,57,1449.3,1243,1525
Rhodovibrionaceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Rhodospirillales,57,1403.0,1200,1496
Chroococcales,order,bacteria,Cyanobacteriota > Cyanophyceae > Oscillatoriophycideae,52,1440.0,1210,1886
Nautiliales,order,bacteria,Pseudomonadati > Campylobacterota > Epsilonproteobacteria,47,1440.9,1277,1541
Scytonemataceae,family,bacteria,Cyanobacteriota > Cyanophyceae > Nostocales,44,1448.1,1263,1879
Pleurocapsales,order,bacteria,Cyanobacteriota/Melainabacteria group > Cyanobacteriota > Cyanophyceae,39,1421.4,1215,1493
Holosporales,order,bacteria,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,38,1471.5,1233,2280
Oligoflexia,class,bacteria,Bacteria > Pseudomonadati > Bdellovibrionota,35,1439.7,1250,1541
Nodosilineales,order,bacteria,Cyanobacteriota/Melainabacteria group > Cyanobacteriota > Cyanophyceae,31,1438.2,1292,2366
Intrasporangiaceae,family,bacteria,Actinomycetota > Actinomycetes > Micrococcales,27,1524.9,1342,3032
Natranaerobiaceae,family,bacteria,Bacillota > Clostridia > Natranaerobiales,15,1481.3,1225,1535
Symphyonemataceae,family,bacteria,Cyanobacteriota > Cyanophyceae > Nostocales,11,1408.7,1214,1488
Leptolyngbyales,order,bacteria,Cyanobacteriota/Melainabacteria group > Cyanobacteriota > Cyanophyceae,6,1334.0,1226,1422
Micropepsaceae,family,bacteria,Pseudomonadota > Alphaproteobacteria > Micropepsales,4,1396.8,1310,1503
Oculatellaceae,family,bacteria,Cyanobacteriota > Cyanophyceae > Oculatellales,3,1256.0,1222,1324
Bacteroidota,phylum,bacteria,Pseudomonadati > FCB group > Bacteroidota/Chlorobiota group,2,1444.5,1416,1473
Calditrichota,phylum,bacteria,root > Bacteria > Pseudomonadati,2,1383.5,1370,1397
Thermotogota,phylum,bacteria,root > Bacteria > Thermotogati,1,1361.0,1361,1361
Pseudomonadota,phylum,bacteria,root > Bacteria > Pseudomonadati,1,1495.0,1495,1495
Spirochaetaceae,family,bacteria,Spirochaetota > Spirochaetia > Spirochaetales,1,1483.0,1483,1483
Thermoanaerobaculaceae,family,bacteria,Acidobacteriota > Thermoanaerobaculia > Thermoanaerobaculales,1,1512.0,1512,1512
